#GRM21BR61H106ME43,,
#2025/02/24,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1Vrms,,
DC Bias[V],Cap. Change Rate[%],
36.5,-92.342732363833,
36.75,-92.37451219218354,
37.0,-92.40233145541426,
37.25,-92.42618534245747,
37.5,-92.44607502960483,
37.75,-92.46200818882883,
38.0,-92.47399958064365,
38.25,-92.48207173917696,
38.5,-92.48625575717911,
38.75,-92.48659217864285,
39.0,-92.4831320065319,
39.25,-92.47593783279727,
39.5,-92.46508509734778,
39.75,-92.45066348188469,
40.0,-92.43277844348047,
40.25,-92.41155289139714,
40.5,-92.38712900884542,
40.75,-92.35967021912816,
41.0,-92.32936329277098,
41.25,-92.29642058878616,
41.5,-92.26108241903587,
41.75,-92.22361951964632,
42.0,-92.18433560754707,
42.25,-92.14356999336087,
42.5,-92.10170021394765,
42.75,-92.0591446389707,
43.0,-92.01636499575774,
43.25,-91.97386874560594,
43.5,-91.93221123252947,
43.75,-91.89199751244612,
44.0,-91.85388375714862,
44.25,-91.81857811342337,
44.5,-91.78684088380045,
44.75,-91.75948388221028,
45.0,-91.73736880597515,
45.25,-91.72140445597948,
45.5,-91.71254263058152,
45.75,-91.71177251699791,
46.0,-91.72011340800505,
46.25,-91.73860558318229,
46.5,-91.76829921433473,
46.75,-91.81024118557082,
47.0,-91.86545976152092,
47.25,-91.93494709343891,
47.5,-92.01963962365302,
47.75,-92.12039653426952,
48.0,-92.2379764860423,
48.25,-92.37301300662628,
48.5,-92.52598901166789,
48.75,-92.69721107358079,
49.0,-92.8867841862256,
49.25,-93.09458790203313,
49.5,-93.32025483310254,
49.75,-93.56315259938485,
50.0,-93.82237036439182,
