part_number,spec_application,supplystatus_sort,capacitance_sort[pF],rvol,rvol_ac_list,opetemp-max,tcc,LWSize_mm_inch,size_thickness_max,tolerance,Type,caution,file_information,,
GRT31CR61A476KE13,IE|AIC|MeI,In Production,47000000,10,-,85,X5R,3216M/1206,1.8,±10%,Infotainment for Automotive [AEC-Q200],derating1,[n],[s],[t]
GRM31CR61A476KE15,CE|IE|AIC|MeI|ME,In Production,47000000,10,-,85,X5R,3216M/1206,1.8,±10%,General Purpose,,[n],[s],[t]
GRM31CR61C476ME44,CE|IE|AIC|MeI|ME,In Production,47000000,16,-,85,X5R,3216M/1206,1.9,±20%,General Purpose,,[n],[s],[t]
GRT21BC80E476ME13,IE|AIC|MeI,In Production,47000000,2.5,-,105,X6S,2012M/0805,1.45,±20%,Infotainment for Automotive [AEC-Q200],derating1,[n],[s],[t]
ZRB18AC80E476ME01,CE|IE|AIC|MeI|ME,In Production,47000000,2.5,-,105,X6S,1608M/0603,1.2,±20%,Acoustic noise reduction (interposer),,[n],[s],[t]
GRM188C80E476ME05,CE|IE|AIC|MeI|ME,In Production,47000000,2.5,-,105,X6S,1608M/0603,1,±20%,General Purpose,,[n],[s],[t]
GRM188C80G476ME01,CE|IE|AIC|MeI|ME,In Production,47000000,4,-,105,X6S,1608M/0603,1,±20%,General Purpose,derating1,[n],[s],[t]
GRT21BC80G476ME13,IE|AIC|MeI,In Production,47000000,4,-,105,X6S,2012M/0805,1.45,±20%,Infotainment for Automotive [AEC-Q200],derating1,[n],[s],[t]
GRM21BC80G476ME18,CE|IE|AIC|MeI|ME,In Production,47000000,4,-,105,X6S,2012M/0805,1.45,±20%,General Purpose,derating1,[n],[s],[t]
GXT31CC80J476KE13,IE|AIC|MeI,In Production,47000000,6.3,-,105,X6S,3216M/1206,1.8,±10%,Water repellent/ Infotainment [AEC-Q200],derating1,[n],[s],[t]
GRM21BC80J476ME01,CE|IE|AIC|MeI|ME,In Production,47000000,6.3,-,105,X6S,2012M/0805,1.45,±20%,General Purpose,derating1,[n],[s],[t]
GRM32EC80J476ME64,CE|IE|AIC|MeI|ME,In Production,47000000,6.3,-,105,X6S,3225M/1210,2.7,±20%,General Purpose,,[n],[s],[t]
GRT31CC80J476KE13,IE|AIC|MeI,In Production,47000000,6.3,-,105,X6S,3216M/1206,1.8,±10%,Infotainment for Automotive [AEC-Q200],derating1,[n],[s],[t]
GRM32EC81A476ME19,CE|IE|AIC|MeI|ME,In Production,47000000,10,-,105,X6S,3225M/1210,2.7,±20%,General Purpose,,[n],[s],[t]
GRM31CC81A476ME44,CE|IE|AIC|MeI|ME,In Production,47000000,10,-,105,X6S,3216M/1206,1.9,±20%,General Purpose,,[n],[s],[t]
GXT32EC81A476KE13,IE|AIC|MeI,In Production,47000000,10,-,105,X6S,3225M/1210,2.7,±10%,Water repellent/ Infotainment [AEC-Q200],derating1,[n],[s],[t]
GRT32EC81A476KE13,IE|AIC|MeI,In Production,47000000,10,-,105,X6S,3225M/1210,2.7,±10%,Infotainment for Automotive [AEC-Q200],derating1,[n],[s],[t]
