Manufacturer,MfrPartName,TChar,Capacitance,VoltageRatedDC,Volume,Package,C_Cv,V_Cv,C0,Cr,Vr,Cr_n,Er,Ce,EnergyDensity
TDK,CGA2B2X8R2A471K050BE Equiv. C1005X8R2A471K for Auto,X8R,470pF,100,3.00E-10,402,[4.7e-10 4.80222e-10 4.82192e-10 4.83191e-10 4.81711e-10 4.75319e-10 4.63423e-10 4.38196e-10 3.8531e-10 3.31517e-10],[0 4 6.3 10 16 25 35 50 75 100],4.70E-10,3.32E-10,100,0.705355319,2.00E-06,4.00E-10,6666.897933
TDK,CGA2B2X8R2A471M050BA Equiv. C1005X8R2A471M for Auto,X8R,470pF,100,2.75E-10,402,[4.7e-10 4.80222e-10 4.82192e-10 4.83191e-10 4.81711e-10 4.75319e-10 4.63423e-10 4.38196e-10 3.8531e-10 3.31517e-10],[0 4 6.3 10 16 25 35 50 75 100],4.70E-10,3.32E-10,100,0.705355319,2.00E-06,4.00E-10,7272.979564
TDK,CGA2B2X8R2A471M050BE Equiv. C1005X8R2A471M for Auto,X8R,470pF,100,3.00E-10,402,[4.7e-10 4.80222e-10 4.82192e-10 4.83191e-10 4.81711e-10 4.75319e-10 4.63423e-10 4.38196e-10 3.8531e-10 3.31517e-10],[0 4 6.3 10 16 25 35 50 75 100],4.70E-10,3.32E-10,100,0.705355319,2.00E-06,4.00E-10,6666.897933
TDK,CGA2B3X5R1A154K050BB Equiv. C1005X5R1A154K for Auto,X5R,150nF,10,2.75E-10,402,[1.5e-07 1.47099e-07 1.43924e-07 1.38518e-07 1.33361e-07 1.27238e-07 1.18136e-07 1.05371e-07 9.09813e-08],[0 1 2 3.15 4 5 6.3 8 10],1.50E-07,9.10E-08,10,0.606542,5.73E-06,1.15E-07,20835.39975
TDK,CGA2B3X5R1A154M050BB Equiv. C1005X5R1A154M for Auto,X5R,150nF,10,2.75E-10,402,[1.5e-07 1.47099e-07 1.43924e-07 1.38518e-07 1.33361e-07 1.27238e-07 1.18136e-07 1.05371e-07 9.09813e-08],[0 1 2 3.15 4 5 6.3 8 10],1.50E-07,9.10E-08,10,0.606542,5.73E-06,1.15E-07,20835.39975
TDK,CGA2B3X5R1A224K050BB Equiv. C1005X5R1A224K for Auto,X5R,220nF,10,2.75E-10,402,[2.2e-07 2.1626e-07 2.09759e-07 2.00311e-07 1.89538e-07 1.78349e-07 1.58611e-07 1.36098e-07 1.13181e-07],[0 1 2 3.15 4 5 6.3 8 10],2.20E-07,1.13E-07,10,0.514459091,7.71E-06,1.54E-07,28048.00428
TDK,CGA2B3X5R1A224M050BB Equiv. C1005X5R1A224M for Auto,X5R,220nF,10,2.75E-10,402,[2.2e-07 2.1626e-07 2.09759e-07 2.00311e-07 1.89538e-07 1.78349e-07 1.58611e-07 1.36098e-07 1.13181e-07],[0 1 2 3.15 4 5 6.3 8 10],2.20E-07,1.13E-07,10,0.514459091,7.71E-06,1.54E-07,28048.00428
TDK,CGA2B3X5R1E104K050BB Equiv. C1005X5R1E104K for Auto,X5R,100nF,25,2.75E-10,402,[1e-07 1.0206e-07 1.01214e-07 9.90452e-08 9.68771e-08 9.40634e-08 9.03081e-08 8.47911e-08 7.74085e-08 6.82862e-08 5.62422e-08 3.53656e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25],1.00E-07,3.54E-08,25,0.353656,1.76E-05,5.62E-08,63866.36112
TDK,CGA2B3X5R1E104M050BB Equiv. C1005X5R1E104M for Auto,X5R,100nF,25,2.75E-10,402,[1e-07 1.0206e-07 1.01214e-07 9.90452e-08 9.68771e-08 9.40634e-08 9.03081e-08 8.47911e-08 7.74085e-08 6.82862e-08 5.62422e-08 3.53656e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25],1.00E-07,3.54E-08,25,0.353656,1.76E-05,5.62E-08,63866.36112
TDK,CGA2B3X5R1E683K050BB Equiv. C1005X5R1E683K for Auto,X5R,68nF,25,2.75E-10,402,[6.8e-08 6.81719e-08 6.74346e-08 6.60809e-08 6.44004e-08 6.2605e-08 6.00565e-08 5.62084e-08 5.1278e-08 4.51072e-08 3.69613e-08 2.31861e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25],6.80E-08,2.32E-08,25,0.340972059,1.16E-05,3.70E-08,42072.46877
